,Name,Price,Retailer,Stars,Description
27,Google Pixel 3 - 64 GB - Clearly White - Unlocked,792.00 US$,from 5+ stores,4.4 out of 5 stars,Everything you wish your phone could do - there is a new way to capture your world and that is with Google's new Pixel 3 camera. Pick the perfect ...
28,"Doro 7050 - 512 MB - Black, White - Unlocked - GSM",50.00 US$,from 4 shops,4.2 out of 5 stars,The Doro 7050 flip phone offers a simple and reliable way to stay well connected. A conveniently located Assistance button lets you know quickly ...
29,"Apple iPhone 6s, 16GB, Space Gray, Pre-owned, Boost Mobile",99.99 US$ used,from 2 shops,4.5 out of 5 stars,A 4.7-inch Retina HD display with 3D Touch. 7000 series aluminum and stronger cover glass. An A9 chip with 64-bit desktop-class architecture. All ...
30,Jitterbug Flip Easy-to-Use Cell Phone - Red,99.99 US$,from 20+ stores,4 out of 5 stars,"Thoughtfully designed for no-hassle daily use, the Jitterbug Flip takes simplicity to the next level with features like: big buttons, simple “yes ..."
31,"Apple iPhone 6S Plus, 16GB, Space Gray, Pre-Owned, Boost Mobile",129.99 US$ used,Boost Mobile,none,iPhone 6s Plus features a 12MP camera with 4K video at 30 fps and optical image stabilization. A 5.5-inch Retina HD display with 3D Touch. 1 A9 ...
32,Motorola moto g6 - 32 GB - Black - Unlocked,159.99 US$,from 50+ stores,4.4 out of 5 stars,"Design matters. That's why there's the MOTO G6. Immerse yourself in photos and videos on the edge-to-edge, 5.7"" Full HD+ Max Vision display. Make ..."
33,Apple iPhone 7 - 32 GB - Black - T-Mobile - GSM,449.00 US$,from 25+ stores,4.5 out of 5 stars,"iPhone 7 dramatically improves the most important aspects of the iPhone experience. It introduces an advanced new camera system, the best ..."
34,Apple iPhone XS Max - 512 GB - Gold - Verizon,0.00 US$,from 4 shops,4.6 out of 5 stars,"iPhone XS Max delivers even faster Face ID with its smart, powerful chip and a breakthrough dual-camera system. iPhone XS is everything you love ..."
35,"Samsung Galaxy S8 64GB (Unlocked) Certified Pre-Owned, Midnight ...",0.00 US$ refurbished,Samsung,none,Galaxy S8 64GB (Unlocked) Certified Pre-Owned Color: Midnight Black. Screen Technology: dual edge SuperAMOLED . Screen resolution: 2960 x 1440 ...
36,Apple iPhone XR - 256 GB - PRODUCT(RED) - Verizon,0.00 US$,from 5+ stores,4.6 out of 5 stars,An advanced LCD. Even faster Face ID. And a breakthrough camera system. The iPhone XR is beautiful any way you look at it.
37,Samsung Galaxy Note8 - Dual-SIM - 64 GB - Midnight Black ...,899.99 US$,from 50+ stores,4.6 out of 5 stars,Be more impactful more efficient and more secure in everything you do. Whatever work or life throws at you the Galaxy Note8 has the tools to ...
38,DOOGEE S80 Rugged Smatphone Unlocked Android 8.1 - Outdoor Walkie ...,385.99 US$,Amazon.com - Seller,none,"【Waterproof Dustproof Shockproof】S80 passed the strict IP68/IP69K/MIL-STD-810G test, not only holds ultra-wide temperature range from -30°C to 60 ..."
39,Apple iPhone 8 Plus Space Gray 64GB Empty OEM Retail Phone Box ...,369.00 US$ refurbished,from 3 shops,4.6 out of 5 stars,"This listing is for an Empty Retail Phone Box of the Apple iPhone 8 Plus Smartphone, Space Gray 64GB Version. This box has a non-removable ..."
40,"Apple iPhone 6s, 16GB, Rose Gold, Refurbished, Boost Mobile",129.99 US$ refurbished,from 2 shops,4.5 out of 5 stars,iPhone 6s features a 12MP camera with 4K video at 30 fps. A 4.7-inch Retina HD display with 3D Touch.1 A9 chip. Long battery life.2 Comes with iOS ...
41,Samsung Galaxy Note9 - 128 GB - Midnight Black - Unlocked - CDMA/GSM,999.99 US$,from 25+ stores,4.8 out of 5 stars,"Galaxy Note has always put powerful technology in the hands of those who demand more. Now, the Galaxy Note9 surpasses even these high expectations ..."
42,Spectralink Versity 9540 - 64 GB - Unlocked - GSM,"1,064.80 US$",from 5+ stores,none,Spectralink Versity measures up to your toughest enterprise requirements without compromising style - flexibility or performance.
43,Samsung Galaxy S9 Black,50.00 US$,from 10+ stores,4.1 out of 5 stars,"Samsung breaks new ground in Android smartphone innovation with its latest flagship device, the Galaxy S9, creating one of the most versatile ..."
44,"Apple iPhone 8 Plus 64GB Pre-owned, Space Gray - Sprint",449.99 US$ used,Sprint,4 out of 5 stars,Save BIG on iPhone 8 Plus with Sprint Flex and eligible trade-in. Designed with the most durable glass ever in a smartphone and a stronger ...
45,Motorola Moto G7 Play - 32 GB - Deep Indigo - Unlocked - CDMA/GSM,179.99 US$,from 25+ stores,4.3 out of 5 stars,Don't let the small size fool you. The G7 Play is a performance powerhouse that leaves lag time behind. Stream content and use your favorite apps ...
46,Apple iPhone XS - 512 GB - Silver - Sprint,56.99 US$,from 4 shops,4.6 out of 5 stars,A Super Retina OLED display. Even faster Face ID. And a breakthrough dual-camera system. The iPhone XS is everything you love about iPhone. Taken ...
